时间,维度,主体,X,Y,Z,事件,目标,x,y,z,附加信息
2023-03-01 00:08:02,主世界,Arrow,,,,弹射物击中,ABCD12335,-72,74,1441,
2023-03-01 00:08:04,主世界,Arrow,,,,弹射物击中,ABCD12335,-72,73,1442,
2023-03-01 00:08:06,主世界,Arrow,,,,弹射物击中,ABCD12335,-83,72,1447,
2023-03-01 00:09:10,主世界,ABCD12335,-53,68,1723,使用物品,Sweet Berries 1 0.6 1.6s,,,,类型：minecraft:sweet_berries
2023-03-01 00:09:10,主世界,ABCD12335,-53,68,1723,食用食物,Sweet Berries 1 0.6 1.6s,,,,
2023-03-01 00:09:12,主世界,ABCD12335,-54,69,1725,使用物品,Sweet Berries 1 0.6 1.6s,,,,类型：minecraft:sweet_berries
2023-03-01 00:09:12,主世界,ABCD12335,-54,69,1725,食用食物,Sweet Berries 1 0.6 1.6s,,,,
2023-03-01 00:09:12,主世界,ABCD12335,-54,69,1725,使用物品,Sweet Berries 1 0.6 1.6s,,,,类型：minecraft:sweet_berries
2023-03-01 00:09:12,主世界,ABCD12335,-54,69,1725,食用食物,Sweet Berries 1 0.6 1.6s,,,,
2023-03-01 00:09:14,主世界,ABCD12335,-55,70,1726,使用物品,Sweet Berries 1 0.6 1.6s,,,,类型：minecraft:sweet_berries
2023-03-01 00:11:39,主世界,minecraft:piston,4,72,271,活塞推动,minecraft:reeds,4,72,272,
2023-03-01 00:11:51,主世界,ABCD12335,254,67,2164,使用物品点击方块,minecraft:chest,253,65,2162,使用物品： 类型：
2023-03-01 00:11:51,主世界,ABCD12335,254,67,2164,打开容器,minecraft:chest,253,65,2162,
2023-03-01 00:11:51,主世界,ABCD12335,254,67,2164,方块接受玩家互动,minecraft:chest,253,65,2162,
2023-03-01 00:11:55,主世界,ABCD12335,254,67,2164,向容器放入物品,minecraft:chest,253,65,2162,向第25号槽 放入3个 Flint
2023-03-01 00:11:55,主世界,ABCD12335,254,67,2164,从容器取出物品,minecraft:chest,253,65,2162,从第3号槽 取出1个 Flint
2023-03-01 00:11:56,主世界,ABCD12335,254,67,2164,从容器取出物品,minecraft:chest,253,65,2162,从第25号槽 取出3个 Flint
